Sr.No, MT104, MT119, CS118, CL118, EE182, SL101, SS101, EE227, SS122, MT224, SS111, CS217, EL227, CL217, CS201(DATA STRUCTURES), , CGPA, , WARNING
1,B,B+,A,A+,C-,A-,A+,,A+,A,A-,B,A,B,A+,,3.49,,0
2,,A+,A+,A-,A+,B+,B,A,,A+,A+,A,B+,A,C+,,3.66,,0
3,B+,B-,B-,B+,C+,B+,B,,B,A,B,A-,A-,B,A,,3.21,,0
8,B+,A,A-,C-,C-,D+,B-,,B+,F,F,D+,D,F,B-,,1.69,,0
11,A+,A,A-,A+,A-,A+,B+,,A-,A+,B+,A-,A+,A,A+,,3.82,,0
12,,B+,C,F,F,A-,C+,D+,B,B,C,C,F,C,A,,2.64,,0
13,,A,B,C-,B+,A-,C-,A-,,D,B+,B,A,C,C,,2.85,,0
16,A+,A+,A+,A,A,A+,A-,,A+,A+,A-,A,A,A,A,,3.94,,0
17,,C+,D,B+,A,A,A,B+,,B,D+,A,A,B+,C-,,3.08,,0
18,B+,C+,B-,B-,C-,B+,C+,,C-,C,D+,C+,C,B-,C+,,2.41,,0
19,,A,B+,B+,A,A-,B+,B+,,C,A-,B,A,C-,D+,,3.27,,0
20,A,A,A+,B+,B+,A,A-,,A,A,A-,A+,A,A-,A-,,3.8,,0
22,B+,D+,B,F,F,A,A,,B+,B,C,C+,B-,B+,B-,,2.9,,0
23,,C,D,D+,A,C,A-,C,,B+,C,C,C-,A,C-,,2.16,,0
24,B+,C+,A,B-,B-,A,B+,,C,C,C,A-,C+,B,B-,,2.84,,0
25,,F,B+,D,C-,B-,C+,B+,,B+,D,C,C+,C,B,,2.48,,0
26,B-,B-,B+,B+,F,A-,D,,C+,B-,B-,C,C,B-,D+,,2.65,,0
27,,C-,C-,F,B,B,B-,F,,D+,B-,C+,B-,C,B+,,2.4,,0
28,C,A+,A,A+,A+,A,B,,B+,A+,B+,A+,D,C-,A-,,3.24,,0
30,A-,A-,B+,B+,A-,B+,A+,,A,C+,D,A+,B+,B,C+,,3.05,,0
31,,C-,C-,B,B-,B+,A-,A-,,B+,B+,B+,A,A,A,,2.88,,0
34,A-,B+,C+,B+,B,B+,A+,,B+,B,C-,C-,A-,D+,C+,,2.78,,0
36,A,D+,D+,B,A-,D,B+,,F,D+,C,C,A-,D,B-,,2.15,,0
44,C-,A-,C,A-,F,B-,B-,,C+,F,A-,B,F,B+,C+,,2.44,,0
45,,C+,A-,B+,B-,A-,A,B,,B,B-,B+,A,A-,A-,,3.38,,0
51,D,C,B,D+,B-,B,B+,,B-,C+,A-,B,B-,D+,A-,,2.87,,0
54,B+,A,B+,A-,A-,B,B,,B+,B,B,B,A-,B-,A-,,3.3,,0
55,,B,C+,C,C+,C-,B,A,,B,C-,B,C,A-,A,,2.58,,0
56,C+,C,B,B-,C+,C,C+,,A,B,B-,D,C,A,C+,,2.36,,0
57,,A+,A-,B+,A-,A+,B+,A+,,A-,A,A,A,C+,A+,,3.65,,0
59,A-,A-,B,C+,C-,C,B+,,C,D,C-,B-,C+,B,C,,2.34,,0
60,,A,A,B+,A+,A-,C+,B-,,A,B+,B-,A,B+,A-,,3.38,,0
62,A-,C+,C+,C-,B+,C-,C,,A-,C+,B,A-,D+,C-,A-,,2.48,,0
63,,C-,B,F,F,D,D,F,,B-,C+,D,B-,C+,B,,2.22,,3
65,D,C+,B+,B,B+,B+,C-,,C-,F,B,B,B,A-,B,,2.59,,0
66,,C,B,B,A,A,A+,B-,,B-,C+,B-,B,C+,B-,,2.93,,0
68,B-,B,B+,B+,C+,C+,D,,B-,B,A-,B-,C,B-,A-,,2.6,,0
69,,C,B,D+,C+,B-,B,A,,C+,C-,C,B,B,D+,,2.45,,0
70,D,D,B+,B+,B+,C-,C-,,C-,C,C,B-,B-,D,C-,,2.05,,0
71,,B+,C-,D+,D,B+,F,F,F,C,D+,B,C-,B-,D+,,1.9,,2
72,,B+,D,F,B+,A,C-,C+,C,B-,C,C+,C-,F,D+,,2.11,,0
74,B+,A+,A+,B,B+,A,A,,A+,B,A+,A,A,C-,A+,,3.54,,0
77,C+,B-,A,C,C+,C-,A-,,B-,D,B+,C,B,C-,A-,,2.57,,0
78,,B+,B-,B,C-,F,F,A-,,C-,B,C,B+,C-,B+,,2.63,,0
79,A,A,A+,A,A-,A,A+,,A-,A,B-,C+,A,A,A,,3.76,,0
